ID	Key	繁中	英文	
23	Hint004	點擊能量條下方的按鈕，可以消耗 1 點能量來讓能量重洗。	Clicking the button underneath the energy bar will spent 1 Energy permanently to refresh your energy.	点击能量条下方的按钮，可以消耗 1 点能量来让能量重洗。
24	Hint005	敵方主戰車在晚上會睡覺，是進攻的好時機！	The enemy main tank will sleep at night. That's a good chance to attack!	敌方主战车在晚上会睡觉，是进攻的好时机！
25	cardInheritDes	承繼點數在 $i 或以上時才能使用	You can only spend your Inheritance Points when it is at least $i	承继点数在 $i 或以上时才能使用
26	Item Activiate	Item Activiate	Activate Item	Item Activiate
27	item3	Energy Item	Energy Item	Energy Item
28	item2	Upgrade Item	Upgrade Item	Upgrade Item
29	item1	Repair Item	Repair Item	Repair Item
30	ChangeToppings	變更配料	Toppings	变更配料
31	ChangeCards	變更技能	Skills	变更技能
32	ClearDeck	清空	Clear Deck	清空
33	Toppings	配料	Toppings	配料
34	Cards	技能	Skills	技能
35	Ingredients	材料	Ingredients	材料
36	Tanks	戰車	Tanks	战车
37	EditDeck	修改戰車組合	Edit Deck	修改战车组合
38	CraftTank	製作戰車	Build Tank	制作战车
39	ListOfItem	素材列表	Item List	素材列表
40	StoryMode	故事模式	Campaign Mode	故事模式
41	TowerMode	樹海模式	Tower Mode	树海模式
42	EditMode	整備戰車	Edit	整备战车
43	Shop	商店	Shop	商店
44	Setting	設定	Setting	设定
45	Exit	離開	Exit	离开
46	IsConfirm	你確定嗎?	Are You Sure?	你确定吗?
47	NotEnoughCost	成本過載	Over Cost	成本过载
48	NotEnoughIngredients	材料不足	Insufficient Ingredients	材料不足
49	CompleteStoryStage1ToUnlock	請先完成故事模式第一關	Complete Campaign Mode Stage 1 to unlock	请先完成故事模式第一关
50	Developing	開發中	In Development	开发中
51	ChooseNewAbility	請選一個能力來獲取	Please select a new ability	请选一个能力来获取
52	YouGet	你己獲得	You Get	你己获得
53	DayText	第 $1 日	Day $1	第 $1 日
54	Reward	戰利品	Reward	战利品
55	SkillCountShouldBe10	技能數量必須不大於 8，還原變更嗎?	Skill count should not greater than 8, want to discard?	技能数量必须不大于 8，还原变更吗?
56	GetitfromShop	於商店購買	Get it from Shop	于商店购买
57	HowToUnlock	如何獲取	How To Unlock	如何获取
58	MainMenu	主選單	Main Menu	主选单
59	TankDeck	戰車組合	Tank Deck	战车组合
60	ChooseATank	選擇坦克	Choose a Tank	选择坦克
61	ChooseAnTopping	選擇配料	Choose an Topping	选择配料
62	PlaceTheTopping	擺放配料	Place the Topping	摆放配料
63	ChangeSkills	更改技能	Change Skills	更改技能
64	CraftATank	建造戰車	Craft a Tank	建造战车
65	ChooseIngredients	選擇材料	Choose Ingredients	选择材料
66	ChooseAStamp	選擇貼紙	Choose a Sticker	选择贴纸
67	Customize	改造	Customize	改造
68	Sorting	排序	Sorting	排序
69	Shop	商店	Shop	商店
70	BuyStamps	購入貼紙	Buy Stickers	购入贴纸
71	BuySkills	購入技能	Buy Skills	购入技能
72	cardAvailableTimeDes	第 $i 天後才可以使用	Can use it after or on day $i	第 $i 天后才可以使用
73	item3Des	獲得 2 點能量	Get 2 energy	获得 2 点能量
74	item2Des	提高 30% 戰車耐久值	Increase soldier tank hp by 30%	提高 30% 战车耐久值
75	item1Des	回復 5% 主戰車耐久值	Repair player tank hp by 5%	回复 5% 主战车耐久值
76	SkillCoolDowning	技能冷卻中	Skill Cooling Down	技能冷却中
77	EnergyNotEnough	能量不足	Insufficient Energy	能量不足
78	NeedTankBody	沒有戰車	No Tank Available	没有战车
79	RequirementNotMeet	條件不足	Requirement Not Met	条件不足
80	IceCreamCannon	雪榚炮彈	Ice Cream Cannon	雪榚炮弹
81	CandyMachineGun	糖果機關槍	Candy Machine Gun	糖果机关枪
82	CherryBomb	櫻桃炸彈	Cherry Bomb	樱桃炸弹
83	CardType4Description	攻擊力 $1，攻速 $2，耐久值 $3	Attack $1, Attack Speed $1, Durability $3	攻击力 $1，攻速 $2，耐久值 $3
84	CardType1Description	耐久度 $1，防禦力 $2	Durability $1, Defense $2	耐久度 $1，防御力 $2
85	CardType4DescriptionB	耐久值 $3，此炮台無法攻擊	Durability $3, this Turret cannot attack	耐久值 $3，此炮台无法攻击
86	SpecialActionDes	戰車行動 ($1小時)：「$2」	Tank Action ($1 hours): "$2"	战车行动 ($1小时)：「$2」
87	bulletType	子彈	Ammo	子弹
88	shareStampHint	你可以透過此路徑分享貼紙組合	You can share your stickers through	你可以透过此路径分享贴纸组合
89	CardType5Description	耐久度 $1，防禦力 $2，攻擊力 $3，攻速 $4	Durability $1, Defense $2, Attack $3, Attack Speed $4	耐久度 $1，防御力 $2，攻击力 $3，攻速 $4
90	CardType5DescriptionB	耐久度 $1，防禦力 $2，無法攻擊	Durability $1, Defense $2, Cannot Attack	耐久度 $1，防御力 $2，无法攻击
91	playerSpecialRule	己方規則	Friendly Rules	己方规则
92	enemySpecialRule	敵方規則	Enemy Rules	敌方规则
93	ChangeStamp	修改貼紙	Edit Sticker	修改贴纸
94	PlaceStamp	放置貼紙	Place Sticker	放置贴纸
95	ChangeStampSorting	改變次序	Change Stick Sorting	改变次序
96	LoadStamp	讀取組合	Load Combination	读取组合
97	SaveStamp	儲存組合	Save Combination	储存组合
98	ClearAllStamp	清除所有貼紙	Clear all Stickers	清除所有贴纸
99	ClearStamp	清除貼紙	Clear Sticker	清除贴纸
100	Position	位置	Position	位置
101	Size	大小	Size	大小
102	Rotate	旋轉	Rotate	旋转
103	Color	顏色	Color	颜色
104	stampControlRule0	E: 左旋\nR: 右旋	E: Rotate Left\nS: Down\nD: Rotate Right	E: 左旋\nR: 右旋
105	stampControlRule1	W: 上\nS: 下\nA: 左\nD: 右	W: Up\nS: Down\nA: Left\nD: Right	W: 上\nS: 下\nA: 左\nD: 右
106	stampControlRule2	W: 垂直放大\nS: 垂直縮細\nA: 水平放大\nD: 水平縮細	W: Vertical Enlargement\nS: Vertical Shrink\nAL Horizontal Enlargement\nD: Horizontal Shrink	W: 垂直放大\nS: 垂直缩细\nA: 水平放大\nD: 水平缩细
107	stampControlRule3	A: 左旋\nD: 右旋	A: Rotate Left\nD: Rotate Right	A: 左旋\nD: 右旋
108	Cool Down	冷卻時間	Cool Down	冷却时间
109	Fast Edit	快速改裝	Fast Edit	快速改装
110	hp	耐久值	HP	耐久值
111	def	防禦力	DEF	防御力
112	atk	攻擊力	ATK	攻击力
113	ats	攻速	ATS	攻速
114	costLimit	成本上限	Cost Limit	成本上限
115	toppingsControlRule0	E: 左旋\nR: 右旋\nZ: 複製\nX: 變大\n滑鼠右鍵: 取消	E: Rotate Left\nR: Rotate Right\nZ: Copy\nX: Enlarge\nRight Click: Discard	E: 左旋\nR: 右旋\nZ: 复制\nX: 变大\n滑鼠右键: 取消
116	PressAnyButton	按任意鍵	Press Any Key	按任意键
117	coolDownTime	冷卻時間	Cool Down	冷却时间
118	hour	小時	hour	小时
119	bodyProperty	車身特性	Body Property	车身特性
120	turretProperty	炮台特性	Turret Property	炮台特性
121	Infinity	無時限	Infinity	无时限
122	LeftTime	所剩時間	Left Time	所剩时间
123	Layer	層數	Layer	层数
124	LayerAndLeftTime	 層數      所剩時間	 Layer     Left Time	层数      所剩时间
125	etc	等等	etc	等等
126	NoAbility	未有技能	No Ability	未有技能
127	Terminology	術語	Terminology	术语
128	Skill Point	點數	Point	点数
129	Cost after Put	放置後成本	Cost after Put	放置后成本
130	Cost	成本	Cost	成本
131	playerRule	己方規則	Friendly Rule	己方规则
132	enemyRule	敵方規則	Enemy Rule	敌方规则
133	currentCost	目前成本	Current Cost	目前成本
134	NotEnoughCostIsDiscard	成本過載	Over Cost, want to discard?	成本过载
